Country,Clicks,Impressions,CTR,Position
United States,727,13725,5.3%,21.99
Canada,7,225,3.11%,42.86
India,5,449,1.11%,48.27
Australia,2,54,3.7%,41.04
Greece,2,22,9.09%,38.77
Pakistan,1,55,1.82%,34.02
Bangladesh,1,54,1.85%,43.19
Panama,1,19,5.26%,31.47
Finland,1,13,7.69%,36.69
Macau,1,3,33.33%,8.33
Lebanon,1,3,33.33%,22.33
Brazil,0,2041,0%,50.45
Russia,0,689,0%,46.76
South Korea,0,614,0%,42.76
United Kingdom,0,471,0%,49.8
Italy,0,321,0%,56.56
Vietnam,0,153,0%,51.73
Argentina,0,131,0%,49.92
Turkey,0,113,0%,43.5
Mexico,0,108,0%,45.25
Taiwan,0,107,0%,47.86
Germany,0,102,0%,49.06
Ecuador,0,88,0%,55.35
Ukraine,0,87,0%,50.23
France,0,87,0%,53.54
Philippines,0,81,0%,34.2
Malaysia,0,78,0%,42.21
Indonesia,0,74,0%,46.43
Netherlands,0,67,0%,40.57
South Africa,0,65,0%,52.03
Egypt,0,62,0%,44.21
Venezuela,0,61,0%,53.82
Spain,0,57,0%,44.81
Poland,0,55,0%,43.24
Lithuania,0,52,0%,38.6
Iraq,0,44,0%,54.23
Colombia,0,43,0%,45.12
Unknown Region,0,39,0%,48.74
Saudi Arabia,0,39,0%,50.77
Japan,0,38,0%,54.13
Morocco,0,33,0%,41.18
Ireland,0,31,0%,35.97
Chile,0,25,0%,50.88
Trinidad & Tobago,0,24,0%,52.67
Paraguay,0,24,0%,52.96
Israel,0,23,0%,41.43
Tunisia,0,23,0%,47.22
Sweden,0,22,0%,36.18
Bulgaria,0,22,0%,37.59
Kazakhstan,0,22,0%,40.18
United Arab Emirates,0,22,0%,46.68
Thailand,0,22,0%,62.77
Uzbekistan,0,21,0%,42.48
Peru,0,21,0%,55.71
Singapore,0,20,0%,39.8
Jamaica,0,20,0%,58.15
Kenya,0,18,0%,33.33
Belgium,0,18,0%,44.56
Romania,0,18,0%,52.83
Czechia,0,16,0%,49.44
Jordan,0,16,0%,60.19
Georgia,0,15,0%,28.27
Nepal,0,15,0%,38.6
Iran,0,15,0%,43
Moldova,0,14,0%,48.93
Costa Rica,0,14,0%,49.43
Belarus,0,14,0%,50.64
Hungary,0,14,0%,55.79
Portugal,0,14,0%,60.86
Barbados,0,13,0%,43.77
Guatemala,0,13,0%,55.15
Cyprus,0,12,0%,43.75
Uruguay,0,12,0%,47.42
Dominican Republic,0,12,0%,52.42
Algeria,0,12,0%,53
Kuwait,0,12,0%,53
New Zealand,0,11,0%,40.45
Azerbaijan,0,10,0%,28.2
Honduras,0,10,0%,40.4
Slovenia,0,9,0%,40.11
Albania,0,9,0%,45.78
Serbia,0,9,0%,51.78
Switzerland,0,9,0%,52.67
Palestine,0,8,0%,35.75
Hong Kong,0,8,0%,45.5
Bolivia,0,8,0%,53
Kyrgyzstan,0,7,0%,47
Latvia,0,7,0%,64.86
Nigeria,0,6,0%,23.17
Norway,0,6,0%,44.83
Estonia,0,6,0%,50.83
Bahamas,0,6,0%,58.5
Bahrain,0,6,0%,59.67
Croatia,0,5,0%,19.4
Sri Lanka,0,5,0%,32.4
China,0,5,0%,50.2
Bosnia & Herzegovina,0,5,0%,56
Senegal,0,5,0%,67.8
Guyana,0,4,0%,34.5
El Salvador,0,4,0%,41.75
Austria,0,4,0%,45.75
Cambodia,0,4,0%,50.5
Belize,0,4,0%,56.25
Macedonia,0,4,0%,66.75
Myanmar (Burma),0,4,0%,67
Nicaragua,0,4,0%,82.25
Congo - Brazzaville,0,3,0%,22.33
Syria,0,3,0%,37.33
Oman,0,3,0%,40.67
Mongolia,0,3,0%,51.33
Iceland,0,3,0%,51.67
Montenegro,0,2,0%,4
Uganda,0,2,0%,6
Armenia,0,2,0%,19
Ethiopia,0,2,0%,41
Libya,0,2,0%,46.5
St. Lucia,0,2,0%,47
Madagascar,0,2,0%,48
Mauritius,0,2,0%,49
Qatar,0,2,0%,49.5
Slovakia,0,2,0%,49.5
Luxembourg,0,2,0%,51.5
Anguilla,0,2,0%,53
Dominica,0,2,0%,58
Côte d’Ivoire,0,2,0%,78.5
Grenada,0,2,0%,79.5
Somalia,0,2,0%,81.5
Puerto Rico,0,2,0%,86.5
U.S. Virgin Islands,0,1,0%,3
British Virgin Islands,0,1,0%,6
Laos,0,1,0%,9
Åland Islands,0,1,0%,10
Angola,0,1,0%,12
Guam,0,1,0%,13
Congo - Kinshasa,0,1,0%,15
St. Kitts & Nevis,0,1,0%,19
Jersey,0,1,0%,22
Denmark,0,1,0%,23
Brunei,0,1,0%,29
Seychelles,0,1,0%,29
Ghana,0,1,0%,30
Botswana,0,1,0%,37
Mauritania,0,1,0%,39
Isle of Man,0,1,0%,43
Tanzania,0,1,0%,67
St. Martin,0,1,0%,70
Zambia,0,1,0%,72
Gabon,0,1,0%,83
Bermuda,0,1,0%,85
Rwanda,0,1,0%,91
