Date,Clicks,Impressions,CTR,Position
2025-07-06,11,206,5.34%,32.7
2025-07-05,12,171,7.02%,21.88
2025-07-04,7,182,3.85%,36.41
2025-07-03,11,245,4.49%,19.75
2025-07-02,8,215,3.72%,22.91
2025-07-01,7,246,2.85%,23.91
2025-06-30,8,220,3.64%,22.92
2025-06-29,5,228,2.19%,31.17
2025-06-28,11,181,6.08%,27.17
2025-06-27,8,238,3.36%,28.34
2025-06-26,4,205,1.95%,23.52
2025-06-25,6,231,2.6%,22.44
2025-06-24,9,252,3.57%,22.7
2025-06-23,6,236,2.54%,26.6
2025-06-22,7,171,4.09%,27.33
2025-06-21,10,176,5.68%,27.74
2025-06-20,2,239,0.84%,28.25
2025-06-19,5,224,2.23%,27.97
2025-06-18,17,272,6.25%,23.78
2025-06-17,10,265,3.77%,22.14
2025-06-16,8,227,3.52%,28.81
2025-06-15,10,220,4.55%,28.1
2025-06-14,7,202,3.47%,28.58
2025-06-13,8,206,3.88%,26.48
2025-06-12,16,219,7.31%,19.16
2025-06-11,12,211,5.69%,25.1
2025-06-10,9,274,3.28%,19.91
2025-06-09,11,255,4.31%,26.54
2025-06-08,4,171,2.34%,22.26
2025-06-07,4,166,2.41%,30.43
2025-06-06,13,246,5.28%,32.15
2025-06-05,10,251,3.98%,26.2
2025-06-04,9,190,4.74%,23.54
2025-06-03,10,268,3.73%,26.76
2025-06-02,10,254,3.94%,24.13
2025-06-01,4,213,1.88%,36.09
2025-05-31,3,182,1.65%,35.93
2025-05-30,5,253,1.98%,32.7
2025-05-29,5,229,2.18%,32.25
2025-05-28,6,269,2.23%,30.35
2025-05-27,20,259,7.72%,28.49
2025-05-26,3,184,1.63%,30.2
2025-05-25,7,180,3.89%,33.37
2025-05-24,5,165,3.03%,32.87
2025-05-23,10,242,4.13%,31.75
2025-05-22,9,225,4%,26.4
2025-05-21,17,267,6.37%,27.61
2025-05-20,9,268,3.36%,27.06
2025-05-19,11,274,4.01%,31.11
2025-05-18,2,212,0.94%,29.43
2025-05-17,5,201,2.49%,30.14
2025-05-16,6,229,2.62%,34.41
2025-05-15,10,235,4.26%,25.07
2025-05-14,9,258,3.49%,35.1
2025-05-13,9,289,3.11%,34.56
2025-05-12,7,273,2.56%,35.38
2025-05-11,3,213,1.41%,44.93
2025-05-10,11,254,4.33%,36.45
2025-05-09,6,245,2.45%,40.28
2025-05-08,12,234,5.13%,29.43
2025-05-07,12,244,4.92%,22.78
2025-05-06,9,210,4.29%,26.39
2025-05-05,11,220,5%,27.35
2025-05-04,6,167,3.59%,27.13
2025-05-03,4,157,2.55%,28.39
2025-05-02,5,184,2.72%,35.17
2025-05-01,7,193,3.63%,25.78
2025-04-30,11,236,4.66%,26.91
2025-04-29,9,229,3.93%,27.83
2025-04-28,15,238,6.3%,27.86
2025-04-27,7,207,3.38%,28.04
2025-04-26,2,185,1.08%,33.92
2025-04-25,11,279,3.94%,30.31
2025-04-24,9,343,2.62%,36.86
2025-04-23,6,392,1.53%,39.76
2025-04-22,14,363,3.86%,37.19
2025-04-21,10,347,2.88%,43.38
2025-04-20,5,323,1.55%,48.85
2025-04-19,7,301,2.33%,45.18
2025-04-18,13,317,4.1%,46.89
2025-04-17,8,265,3.02%,46.31
2025-04-16,7,304,2.3%,41.22
2025-04-15,14,287,4.88%,43.09
2025-04-14,3,238,1.26%,38.07
2025-04-13,6,213,2.82%,39.46
2025-04-12,4,181,2.21%,41.56
2025-04-11,6,241,2.49%,34.63
2025-04-10,3,266,1.13%,37.8
2025-04-09,7,234,2.99%,31.15
2025-04-08,11,288,3.82%,35.45
2025-04-07,8,246,3.25%,34.62
