Top pages,Clicks,Impressions,CTR,Position
https://www.lotusdirectcare.com/post/getting-off-suboxone-with-sublocade,479,11056,4.33%,27.81
https://www.lotusdirectcare.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=12491822870036576159,104,973,10.69%,6.58
https://www.lotusdirectcare.com/,89,2414,3.69%,15.96
https://www.lotusdirectcare.com/physician,35,1335,2.62%,8.01
https://www.lotusdirectcare.com/functional-medicine,13,3571,0.36%,26.04
https://www.lotusdirectcare.com/medical-weight-loss,9,1339,0.67%,33.57
https://www.lotusdirectcare.com/services,5,1785,0.28%,17.22
https://www.lotusdirectcare.com/addiction,5,297,1.68%,44.96
https://www.lotusdirectcare.com/services-9,4,732,0.55%,6.76
https://www.lotusdirectcare.com/direct-primary-care,3,2921,0.1%,57.37
https://www.lotusdirectcare.com/schedule-appointment,3,693,0.43%,11.27
https://www.lotusdirectcare.com/about,2,850,0.24%,4.96
https://www.lotusdirectcare.com/primary-care,1,687,0.15%,11.07
https://www.lotusdirectcare.com/post/elevating-your-healthspan-lotus-direct-care-s-comprehensive-longevity-program,1,92,1.09%,51.66
https://www.lotusdirectcare.com/faq,1,9,11.11%,7
https://www.lotusdirectcare.com/pricing,0,245,0%,5.52
https://www.lotusdirectcare.com/ketamine1,0,245,0%,23.29
https://www.lotusdirectcare.com/testimonials,0,221,0%,5.75
https://www.lotusdirectcare.com/direct-access-to-your-doctor,0,124,0%,54.93
https://www.lotusdirectcare.com/blog,0,71,0%,8.24
https://www.lotusdirectcare.com/depression-and-anxiety,0,50,0%,21.62
https://www.lotusdirectcare.com/video-reviews,0,20,0%,14.35
https://www.lotusdirectcare.com/virtual-specialist-consultations,0,14,0%,73.64
https://www.lotusdirectcare.com/post/revolutionizing-weight-loss-the-power-of-glp-1-medications-at-lotus-direct-care,0,13,0%,9.15
https://www.lotusdirectcare.com/copy-of-newsletter-sign-up,0,12,0%,29.08
https://www.lotusdirectcare.com/post/metabolic-syndrome-in-midlife-understanding-your-health-and-how-to-improve-it,0,8,0%,7.88
https://www.lotusdirectcare.com/post/understanding-human-methylation-mthfr-mutations-and-homocysteine,0,5,0%,18.6
https://www.lotusdirectcare.com/post/is-bv-a-sexually-transmitted-infection-new-research-indicates-in-some-cases-it-is,0,5,0%,23.2
https://www.lotusdirectcare.com/forum/general-discussion/introduce-yourself-1,0,2,0%,18
https://www.lotusdirectcare.com/contact-us,0,1,0%,1
https://www.lotusdirectcare.com/post/prediabetes-what-it-means-and-how-to-reverse-it,0,1,0%,1
https://www.lotusdirectcare.com/forum/general-discussion,0,1,0%,9
https://www.lotusdirectcare.com/forum/general-discussion/forum-rules-1,0,1,0%,26
